Layer,Context_Level,Most_Important_Test_Feature,Prompt_1_Most_Important_Test_Feature,Prompt_2_Most_Important_Test_Feature,Prompt_3_Most_Important_Test_Feature,Prompt_4_Most_Important_Test_Feature,Prompt_5_Most_Important_Test_Feature,Prompt_6_Most_Important_Test_Feature,Prompt_7_Most_Important_Test_Feature,Prompt_8_Most_Important_Test_Feature,Prompt_9_Most_Important_Test_Feature,Prompt_10_Most_Important_Test_Feature
8,150,339.4,321.6,197.0,348.4,339.8,302.8,257.6,200.8,265.6,271.0,221.2
8,175,303.6,330.2,162.0,393.2,342.2,172.4,115.6,340.6,216.6,298.8,283.2
8,200,360.8,285.4,206.4,326.8,270.4,327.2,170.4,250.4,358.2,312.2,208.0
8,225,294.8,323.4,235.2,217.8,348.2,254.8,256.4,257.8,241.2,282.0,228.2
8,250,221.4,302.0,194.4,325.4,316.6,295.0,240.0,306.6,197.4,231.6,316.8
8,275,292.6,275.0,272.4,353.0,256.0,257.0,211.6,385.4,211.8,261.4,232.4
8,300,276.4,293.0,308.4,348.8,348.0,255.0,191.8,349.6,232.2,317.4,195.0
8,325,212.8,205.4,347.0,295.8,284.4,162.4,282.8,310.8,250.8,266.2,234.0
8,350,225.2,261.0,277.4,314.2,327.8,329.2,275.4,163.4,236.2,247.0,275.6
8,375,261.0,278.8,234.2,158.4,350.8,322.0,297.2,267.8,306.4,250.6,314.2
8,400,362.8,315.8,299.0,291.6,353.0,331.4,147.6,324.6,242.2,194.0,287.6
